transformer_id,loc,name,ser,codetx,sample_day,transformer_overall_severity_level,transformer_overall_severity_label,transformer_overall_severity_score,overall_score_type,overall_score_formula,overall_score_is_weighted,overall_score_is_failure_probability,overall_score_history_is_bounded,history_mean_status_before_current,history_status_slope_per_observation,maintenance_priority,maintenance_priority_ordinal,maintenance_priority_reason,maintenance_priority_is_weighted,maintenance_priority_score_type,critical_front_flag,critical_rule,critical_reference,critical_evidence_table,critical_evidence_gas,critical_evidence_ratio,current_fault,current_fault_group,fault_criticality_class,fault_criticality_source,current_fault_posterior_max,current_fault_entropy,diagnostic_agreement_ratio,history_record_count,history_span_days,history_max_status_before_current,history_nonzero_status_record_count,history_abnormal_record_count,history_critical_record_count,history_abnormal_record_ratio,history_critical_record_ratio,history_fault_occurrence_count,history_dominant_fault,history_fault_entropy,history_dominant_fault_count,history_recurrent_fault_fraction,history_current_fault_recurrence_fraction,history_fault_persistence,history_worsening_transition_count,history_improving_transition_count,history_stable_transition_count,history_observed_transition_count,history_worsening_transition_ratio,history_improving_transition_ratio,history_has_observed_trend,single_record_transformer,history_data_sufficiency_level,current_standardized_exceedance,current_concentration_exceedance_ratio,current_delta_exceedance_ratio,current_rate_exceedance_ratio,current_status3_standardized_exceedance,current_delta_exceedance,current_standard_trigger_count,historical_max_standardized_exceedance,table1_exceed_count,table2_exceed_count,table3_exceed_count,table4_exceed_count,ieee_table1_exceeding_gases,ieee_table2_exceeding_gases,ieee_table3_exceeding_gases,ieee_table4_exceeding_gases,ieee_confirmation_required,ieee_delta_available,ieee_rate_available,ieee_rate_span_months,rank,rank_tie,rank_group_size,severity_rank_within_class,severity_class_size,severity_rank_text,rank_percentile,relative_fleet_rank_percentile,fleet_rank_percentile,priority_score,priority_score_type,severity_priority_score_type,severity_evidence_vector,ranking_policy,ranking_is_weighted,ranking_is_health_score,ranking_uses_record_count_as_severity,ranking_uses_fault_criticality_as_severity,recommended_action,maintenance_priority_rank,maintenance_priority_rank_percentile,pareto_dominance_count,pareto_front,pareto_interpretation
103917,SB,KT5A,103917,SBKT5A,2024-02-12,3,STATUS_3,3.0,IEEE_ORDINAL_CURRENT_STATUS,current IEEE status (0..3),False,False,False,3.0,9.39514250178632e-17,STATUS_3,3,"IEEE Status 3 is the current condition class. Maintenance order is determined separately by current standardized exceedance and independent IEEE trigger evidence, then by historical evidence.",False,UNWEIGHTED_LEXICOGRAPHIC_EVIDENCE_ORDER,False,NOT_USED,No additional severity class is created; IEEE Status 1/2/3 remain the condition classes.,TABLE_2_95TH_CONCENTRATION,ch4,5.316666666666666,T3,THERMAL,HIGH_CONCERN,Qualitative fault-context layer informed by the standard fault taxonomy and transformer diagnostic literature; not a numeric severity weight and not used to override IEEE DGA status.,0.9999999999999998,2.822687115403506e-15,100.0,12,1829.0,3,11,12,12,1.0,1.0,12,THERMAL,-0.0,12,1.0,1.0,12,0,0,11,11,0.0,0.0,True,False,2,15.95,15.95,9.1,1.0,15.95,1,3,11.4,5,4,3,0,"['h2', 'ch4', 'c2h6', 'c2h4', 'co']","['ch4', 'c2h6', 'c2h4', 'co']","['ch4', 'c2h6', 'c2h4']",[],True,True,False,,1,False,1,1,386,1/386,100.0,100.0,100.0,,UNWEIGHTED_LEXICOGRAPHIC_EVIDENCE_ORDER,UNWEIGHTED_LEXICOGRAPHIC_EVIDENCE_ORDER,3|4|0|3|3|15.95|1.0|1.0|3|11.4,current IEEE status; current Table-2 concentration evidence; current Table-4 rate evidence; current Table-3 delta evidence; current trigger-table count; separate concentration/delta/rate ratios; historical maximum status; historical maximum concentration exceedance,False,False,False,False,STATUS_3_RANKED_INVESTIGATION,1,100.0,0,False,Compatibility field only; maintenance order uses the documented unweighted lexicographic evidence vector.
338032,NR1,KT2A,338032,NR1KT2A,2024-02-27,3,STATUS_3,3.0,IEEE_ORDINAL_CURRENT_STATUS,current IEEE status (0..3),False,False,False,2.857142857142857,0.08333333333333319,STATUS_3,3,"IEEE Status 3 is the current condition class. Maintenance order is determined separately by current standardized exceedance and independent IEEE trigger evidence, then by historical evidence.",False,UNWEIGHTED_LEXICOGRAPHIC_EVIDENCE_ORDER,False,NOT_USED,No additional severity class is created; IEEE Status 1/2/3 remain the condition classes.,TABLE_2_95TH_CONCENTRATION,ch4,2.0,T3,THERMAL,HIGH_CONCERN,Qualitative fault-context layer informed by the standard fault taxonomy and transformer diagnostic literature; not a numeric severity weight and not used to override IEEE DGA status.,0.9999999999547253,5.775285531324223e-10,66.7,8,1800.0,3,7,8,7,1.0,0.875,8,THERMAL,-0.0,8,1.0,1.0,3,1,0,6,7,0.14285714285714285,0.0,True,False,2,6.0,6.0,2.861142857142857,1.0,6.0,1,3,6.9,5,4,3,0,"['ch4', 'c2h6', 'c2h4', 'co', 'co2']","['ch4', 'c2h6', 'co', 'co2']","['ch4', 'co', 'co2']",[],True,True,False,,2,False,1,2,386,2/386,99.8,99.8,99.8,,UNWEIGHTED_LEXICOGRAPHIC_EVIDENCE_ORDER,UNWEIGHTED_LEXICOGRAPHIC_EVIDENCE_ORDER,3|4|0|3|3|6.0|1.0|1.0|3|6.9,current IEEE status; current Table-2 concentration evidence; current Table-4 rate evidence; current Table-3 delta evidence; current trigger-table count; separate concentration/delta/rate ratios; historical maximum status; historical maximum concentration exceedance,False,False,False,False,STATUS_3_RANKED_INVESTIGATION,2,99.8,0,False,Compatibility field only; maintenance order uses the documented unweighted lexicographic evidence vector.
3900061,MM3,KT9AA,3900061,MM3KT9AA,2024-04-21,3,STATUS_3,3.0,IEEE_ORDINAL_CURRENT_STATUS,current IEEE status (0..3),False,False,False,2.3043478260869565,0.02695652173913041,STATUS_3,3,"IEEE Status 3 is the current condition class. Maintenance order is determined separately by current standardized exceedance and independent IEEE trigger evidence, then by historical evidence.",False,UNWEIGHTED_LEXICOGRAPHIC_EVIDENCE_ORDER,False,NOT_USED,No additional severity class is created; IEEE Status 1/2/3 remain the condition classes.,TABLE_2_95TH_CONCENTRATION,ch4,4.266666666666667,T3,THERMAL,HIGH_CONCERN,Qualitative fault-context layer informed by the standard fault taxonomy and transformer diagnostic literature; not a numeric severity weight and not used to override IEEE DGA status.,0.9999999999999998,2.822687115403506e-15,100.0,24,1808.0,3,23,20,12,0.8333333333333334,0.5,24,THERMAL,0.2868359830561607,22,0.9166666666666666,0.9166666666666666,6,4,2,17,23,0.17391304347826086,0.08695652173913043,True,False,2,12.8,12.8,12.6,1.0,12.8,1,3,16.85,3,3,4,0,"['ch4', 'c2h6', 'c2h4']","['ch4', 'c2h6', 'c2h4']","['h2', 'ch4', 'c2h6', 'c2h4']",[],True,True,False,,3,False,1,3,386,3/386,99.7,99.7,99.7,,UNWEIGHTED_LEXICOGRAPHIC_EVIDENCE_ORDER,UNWEIGHTED_LEXICOGRAPHIC_EVIDENCE_ORDER,3|3|0|4|3|12.8|1.0|1.0|3|16.85,current IEEE status; current Table-2 concentration evidence; current Table-4 rate evidence; current Table-3 delta evidence; current trigger-table count; separate concentration/delta/rate ratios; historical maximum status; historical maximum concentration exceedance,False,False,False,False,STATUS_3_RANKED_INVESTIGATION,3,99.7,0,False,Compatibility field only; maintenance order uses the documented unweighted lexicographic evidence vector.
8R8399T1,SM,KT3A,8R8399T1,SMKT3A,2024-03-16,3,STATUS_3,3.0,IEEE_ORDINAL_CURRENT_STATUS,current IEEE status (0..3),False,False,False,2.0,0.7000000000000001,STATUS_3,3,"IEEE Status 3 is the current condition class. Maintenance order is determined separately by current standardized exceedance and independent IEEE trigger evidence, then by historical evidence.",False,UNWEIGHTED_LEXICOGRAPHIC_EVIDENCE_ORDER,False,NOT_USED,No additional severity class is created; IEEE Status 1/2/3 remain the condition classes.,TABLE_2_95TH_CONCENTRATION,ch4,6.0,T1,THERMAL,LOWER_URGENCY,Qualitative fault-context layer informed by the standard fault taxonomy and transformer diagnostic literature; not a numeric severity weight and not used to override IEEE DGA status.,0.9023361292646372,0.16440827123474686,100.0,4,1098.0,3,3,3,2,0.75,0.5,4,THERMAL,-0.0,4,1.0,1.0,4,2,0,1,3,0.6666666666666666,0.0,True,False,2,16.0,16.0,17.428571428571427,1.0,16.0,1,3,7.866666666666666,3,3,3,0,"['ch4', 'c2h6', 'c2h4']","['ch4', 'c2h6', 'c2h4']","['ch4', 'c2h6', 'c2h4']",[],True,True,False,,4,False,1,4,386,4/386,99.5,99.5,99.5,,UNWEIGHTED_LEXICOGRAPHIC_EVIDENCE_ORDER,UNWEIGHTED_LEXICOGRAPHIC_EVIDENCE_ORDER,3|3|0|3|3|16.0|1.0|1.0|3|7.866666666666666,current IEEE status; current Table-2 concentration evidence; current Table-4 rate evidence; current Table-3 delta evidence; current trigger-table count; separate concentration/delta/rate ratios; historical maximum status; historical maximum concentration exceedance,False,False,False,False,STATUS_3_RANKED_INVESTIGATION,4,99.5,0,False,Compatibility field only; maintenance order uses the documented unweighted lexicographic evidence vector.
EDP011203,BPI,KT2A,EDP011203,BPIKT2A,2024-03-08,3,STATUS_3,3.0,IEEE_ORDINAL_CURRENT_STATUS,current IEEE status (0..3),False,False,False,1.8,0.22857142857142865,STATUS_3,3,"IEEE Status 3 is the current condition class. Maintenance order is determined separately by current standardized exceedance and independent IEEE trigger evidence, then by historical evidence.",False,UNWEIGHTED_LEXICOGRAPHIC_EVIDENCE_ORDER,False,NOT_USED,No additional severity class is created; IEEE Status 1/2/3 remain the condition classes.,TABLE_2_95TH_CONCENTRATION,ch4,1.9233333333333333,T1,THERMAL,LOWER_URGENCY,Qualitative fault-context layer informed by the standard fault taxonomy and transformer diagnostic literature; not a numeric severity weight and not used to override IEEE DGA status.,0.9861422565255984,0.03754417319636451,80.0,6,1803.0,3,5,4,2,0.6666666666666666,0.3333333333333333,5,DISCHARGE,0.5004024235381879,4,0.8,0.2,1,3,1,1,5,0.6,0.2,True,False,2,4.733333333333333,4.733333333333333,9.857142857142858,1.0,4.733333333333333,1,3,1.36,3,3,3,0,"['ch4', 'c2h6', 'co']","['ch4', 'c2h6', 'co']","['h2', 'ch4', 'c2h6']",[],True,True,False,,5,False,1,5,386,5/386,99.4,99.4,99.4,,UNWEIGHTED_LEXICOGRAPHIC_EVIDENCE_ORDER,UNWEIGHTED_LEXICOGRAPHIC_EVIDENCE_ORDER,3|3|0|3|3|4.733333333333333|1.0|1.0|3|1.36,current IEEE status; current Table-2 concentration evidence; current Table-4 rate evidence; current Table-3 delta evidence; current trigger-table count; separate concentration/delta/rate ratios; historical maximum status; historical maximum concentration exceedance,False,False,False,False,STATUS_3_RANKED_INVESTIGATION,5,99.4,0,False,Compatibility field only; maintenance order uses the documented unweighted lexicographic evidence vector.
504004,CT,KT3A,504004,CTKT3A,2024-03-09,3,STATUS_3,3.0,IEEE_ORDINAL_CURRENT_STATUS,current IEEE status (0..3),False,False,False,1.9,0.1545454545454546,STATUS_3,3,"IEEE Status 3 is the current condition class. Maintenance order is determined separately by current standardized exceedance and independent IEEE trigger evidence, then by historical evidence.",False,UNWEIGHTED_LEXICOGRAPHIC_EVIDENCE_ORDER,False,NOT_USED,No additional severity class is created; IEEE Status 1/2/3 remain the condition classes.,TABLE_2_95TH_CONCENTRATION,ch4,1.5333333333333334,T3,THERMAL,HIGH_CONCERN,Qualitative fault-context layer informed by the standard fault taxonomy and transformer diagnostic literature; not a numeric severity weight and not used to override IEEE DGA status.,0.9999999999547253,5.775285531324223e-10,100.0,11,1580.0,3,10,9,2,0.8181818181818182,0.18181818181818182,10,THERMAL,0.5004024235381879,8,0.8,0.8,1,3,1,6,10,0.3,0.1,True,False,2,4.15,4.15,3.857142857142857,1.0,4.15,1,3,3.05,5,3,3,0,"['h2', 'ch4', 'c2h6', 'c2h4', 'co2']","['ch4', 'c2h6', 'c2h4']","['ch4', 'c2h6', 'c2h4']",[],True,True,False,,6,False,1,6,386,6/386,99.2,99.2,99.2,,UNWEIGHTED_LEXICOGRAPHIC_EVIDENCE_ORDER,UNWEIGHTED_LEXICOGRAPHIC_EVIDENCE_ORDER,3|3|0|3|3|4.15|1.0|1.0|3|3.05,current IEEE status; current Table-2 concentration evidence; current Table-4 rate evidence; current Table-3 delta evidence; current trigger-table count; separate concentration/delta/rate ratios; historical maximum status; historical maximum concentration exceedance,False,False,False,False,STATUS_3_RANKED_INVESTIGATION,6,99.2,0,False,Compatibility field only; maintenance order uses the documented unweighted lexicographic evidence vector.
91900005,BPL,KT4A,91900005,BPLKT4A,2023-11-26,3,STATUS_3,3.0,IEEE_ORDINAL_CURRENT_STATUS,current IEEE status (0..3),False,False,False,3.0,-3.419931092488579e-17,STATUS_3,3,"IEEE Status 3 is the current condition class. Maintenance order is determined separately by current standardized exceedance and independent IEEE trigger evidence, then by historical evidence.",False,UNWEIGHTED_LEXICOGRAPHIC_EVIDENCE_ORDER,False,NOT_USED,No additional severity class is created; IEEE Status 1/2/3 remain the condition classes.,TABLE_2_95TH_CONCENTRATION,ch4,8.825,T1,THERMAL,LOWER_URGENCY,Qualitative fault-context layer informed by the standard fault taxonomy and transformer diagnostic literature; not a numeric severity weight and not used to override IEEE DGA status.,0.9861422565255984,0.03754417319636451,100.0,9,1583.0,3,8,9,9,1.0,1.0,8,THERMAL,-0.0,8,1.0,1.0,8,0,0,8,8,0.0,0.0,True,False,2,23.533333333333335,23.533333333333335,2.7,1.0,23.533333333333335,1,3,18.2,5,3,2,0,"['h2', 'ch4', 'c2h6', 'c2h4', 'co2']","['ch4', 'c2h6', 'co2']","['ch4', 'c2h6']",[],True,True,False,,7,False,1,7,386,7/386,99.0,99.0,99.0,,UNWEIGHTED_LEXICOGRAPHIC_EVIDENCE_ORDER,UNWEIGHTED_LEXICOGRAPHIC_EVIDENCE_ORDER,3|3|0|2|3|23.533333333333335|1.0|1.0|3|18.2,current IEEE status; current Table-2 concentration evidence; current Table-4 rate evidence; current Table-3 delta evidence; current trigger-table count; separate concentration/delta/rate ratios; historical maximum status; historical maximum concentration exceedance,False,False,False,False,STATUS_3_RANKED_INVESTIGATION,7,99.0,0,False,Compatibility field only; maintenance order uses the documented unweighted lexicographic evidence vector.
5BA159012,NCS,KT1A,5BA159012,NCSKT1A,2024-05-10,3,STATUS_3,3.0,IEEE_ORDINAL_CURRENT_STATUS,current IEEE status (0..3),False,False,False,2.6666666666666665,-0.09999999999999981,STATUS_3,3,"IEEE Status 3 is the current condition class. Maintenance order is determined separately by current standardized exceedance and independent IEEE trigger evidence, then by historical evidence.",False,UNWEIGHTED_LEXICOGRAPHIC_EVIDENCE_ORDER,False,NOT_USED,No additional severity class is created; IEEE Status 1/2/3 remain the condition classes.,TABLE_2_95TH_CONCENTRATION,ch4,2.725,T1,THERMAL,LOWER_URGENCY,Qualitative fault-context layer informed by the standard fault taxonomy and transformer diagnostic literature; not a numeric severity weight and not used to override IEEE DGA status.,0.9994766670153397,0.0023007941654458884,80.0,4,1887.0,3,3,4,3,1.0,0.75,3,THERMAL,-0.0,3,1.0,1.0,3,1,1,1,3,0.3333333333333333,0.3333333333333333,True,False,2,7.266666666666667,7.266666666666667,2.8,1.0,7.266666666666667,1,3,7.2,4,3,2,0,"['ch4', 'c2h6', 'co', 'co2']","['ch4', 'c2h6', 'co']","['ch4', 'c2h6']",[],True,True,False,,8,False,1,8,386,8/386,98.9,98.9,98.9,,UNWEIGHTED_LEXICOGRAPHIC_EVIDENCE_ORDER,UNWEIGHTED_LEXICOGRAPHIC_EVIDENCE_ORDER,3|3|0|2|3|7.266666666666667|1.0|1.0|3|7.2,current IEEE status; current Table-2 concentration evidence; current Table-4 rate evidence; current Table-3 delta evidence; current trigger-table count; separate concentration/delta/rate ratios; historical maximum status; historical maximum concentration exceedance,False,False,False,False,STATUS_3_RANKED_INVESTIGATION,8,98.9,0,False,Compatibility field only; maintenance order uses the documented unweighted lexicographic evidence vector.
504006,YT,KT3A,504006,YTKT3A,2024-04-10,3,STATUS_3,3.0,IEEE_ORDINAL_CURRENT_STATUS,current IEEE status (0..3),False,False,False,2.8,0.016883116883116937,STATUS_3,3,"IEEE Status 3 is the current condition class. Maintenance order is determined separately by current standardized exceedance and independent IEEE trigger evidence, then by historical evidence.",False,UNWEIGHTED_LEXICOGRAPHIC_EVIDENCE_ORDER,False,NOT_USED,No additional severity class is created; IEEE Status 1/2/3 remain the condition classes.,TABLE_2_95TH_CONCENTRATION,ch4,1.7,T3,THERMAL,HIGH_CONCERN,Qualitative fault-context layer informed by the standard fault taxonomy and transformer diagnostic literature; not a numeric severity weight and not used to override IEEE DGA status.,0.9999999999880897,1.601037636683047e-10,83.3,21,1739.0,3,20,20,18,0.9523809523809523,0.8571428571428571,20,THERMAL,-0.0,20,1.0,1.0,20,3,2,15,20,0.15,0.1,True,False,2,5.24,5.24,1.0965714285714285,1.0,5.24,1,3,29.55,4,3,1,0,"['ch4', 'c2h6', 'c2h4', 'co']","['ch4', 'c2h6', 'c2h4']",['co2'],[],True,True,False,,9,False,1,9,386,9/386,98.7,98.7,98.7,,UNWEIGHTED_LEXICOGRAPHIC_EVIDENCE_ORDER,UNWEIGHTED_LEXICOGRAPHIC_EVIDENCE_ORDER,3|3|0|1|3|5.24|1.0|1.0|3|29.55,current IEEE status; current Table-2 concentration evidence; current Table-4 rate evidence; current Table-3 delta evidence; current trigger-table count; separate concentration/delta/rate ratios; historical maximum status; historical maximum concentration exceedance,False,False,False,False,STATUS_3_RANKED_INVESTIGATION,9,98.7,0,False,Compatibility field only; maintenance order uses the documented unweighted lexicographic evidence vector.
574415,WNK,KT1A,574415,WNKKT1A,2024-06-24,3,STATUS_3,3.0,IEEE_ORDINAL_CURRENT_STATUS,current IEEE status (0..3),False,False,False,2.8,0.08571428571428559,STATUS_3,3,"IEEE Status 3 is the current condition class. Maintenance order is determined separately by current standardized exceedance and independent IEEE trigger evidence, then by historical evidence.",False,UNWEIGHTED_LEXICOGRAPHIC_EVIDENCE_ORDER,False,NOT_USED,No additional severity class is created; IEEE Status 1/2/3 remain the condition classes.,TABLE_2_95TH_CONCENTRATION,ch4,3.9657142857142857,T1,THERMAL,LOWER_URGENCY,Qualitative fault-context layer informed by the standard fault taxonomy and transformer diagnostic literature; not a numeric severity weight and not used to override IEEE DGA status.,0.9578103457933884,0.10300407446870166,0.0,6,1584.0,3,5,6,5,1.0,0.8333333333333334,6,THERMAL,0.45056120886630463,5,0.8333333333333334,0.8333333333333334,4,1,1,3,5,0.2,0.2,True,False,2,7.711111111111111,7.711111111111111,7.2,1.0,7.711111111111111,1,3,34.266666666666666,4,2,5,0,"['h2', 'ch4', 'c2h6', 'c2h4']","['ch4', 'c2h6']","['h2', 'ch4', 'c2h6', 'c2h4', 'co2']",[],True,True,False,,10,False,1,10,386,10/386,98.6,98.6,98.6,,UNWEIGHTED_LEXICOGRAPHIC_EVIDENCE_ORDER,UNWEIGHTED_LEXICOGRAPHIC_EVIDENCE_ORDER,3|2|0|5|3|7.711111111111111|1.0|1.0|3|34.266666666666666,current IEEE status; current Table-2 concentration evidence; current Table-4 rate evidence; current Table-3 delta evidence; current trigger-table count; separate concentration/delta/rate ratios; historical maximum status; historical maximum concentration exceedance,False,False,False,False,STATUS_3_RANKED_INVESTIGATION,10,98.6,0,False,Compatibility field only; maintenance order uses the documented unweighted lexicographic evidence vector.
